,genres,averagerating,numvotes,release_date,movie,production_budget,domestic_gross,worldwide_gross
0,"Action,Animation,Comedy",1.9,8248,"Dec 31, 2012",Foodfight!,"$45,000,000",$0,"$73,706"
1,,7.5,24,"Jun 19, 2015",The Overnight,"$200,000","$1,109,808","$1,165,996"
3,"Adventure,Drama,Romance",6.1,37886,"Mar 22, 2013",On the Road,"$25,000,000","$720,828","$9,313,302"
6,"Adventure,Comedy,Drama",7.3,275300,"Dec 25, 2013",The Secret Life of Walter Mitty,"$91,000,000","$58,236,838","$187,861,183"
7,"Action,Crime,Drama",6.5,105116,"Sep 19, 2014",A Walk Among the Tombstones,"$28,000,000","$26,017,685","$62,108,587"
8,"Action,Adventure,Sci-Fi",7.0,539338,"Jun 12, 2015",Jurassic World,"$215,000,000","$652,270,625","$1,648,854,864"
9,"Comedy,Drama",6.2,94787,"Oct 28, 2011",The Rum Diary,"$45,000,000","$13,109,815","$21,544,732"
10,"Comedy,Family",5.1,28570,"Apr 13, 2012",The Three Stooges,"$30,000,000","$44,338,224","$54,052,249"
11,"Comedy,Drama,Romance",5.5,106,"Dec 31, 2010",Anderson's Cross,"$300,000",$0,$0
12,"Adventure,Animation,Comedy",7.8,366366,"Nov 24, 2010",Tangled,"$260,000,000","$200,821,936","$586,477,240"
13,"Action,Adventure,Sci-Fi",6.6,241792,"Mar 9, 2012",John Carter,"$275,000,000","$73,058,679","$282,778,100"
14,"Action,Thriller",3.3,2862,"Feb 12, 1988",Action Jackson,"$7,000,000","$20,257,000","$20,257,000"
15,Comedy,5.9,91546,"Jul 30, 2010",Dinner for Schmucks,"$69,000,000","$73,026,337","$86,796,502"
16,"Action,Adventure,Thriller",6.8,235256,"Jun 11, 2010",The A-Team,"$110,000,000","$77,222,099","$177,241,171"
17,"Horror,Mystery,Thriller",5.9,53649,"Aug 31, 2012",The Possession,"$14,000,000","$49,130,588","$82,925,064"
18,"Action,Drama,Family",7.1,283534,"Oct 7, 2011",Real Steel,"$110,000,000","$85,463,309","$263,880,341"
19,"Drama,Romance,Sci-Fi",6.5,104999,"Aug 15, 2014",The Giver,"$25,000,000","$45,090,374","$66,540,205"
20,"Adventure,Animation,Comedy",8.3,682218,"Jun 18, 2010",Toy Story 3,"$200,000,000","$415,004,880","$1,068,879,522"
21,"Action,Adventure,Sci-Fi",7.5,88207,"Feb 14, 2019",Alita: Battle Angel,"$170,000,000","$85,710,210","$402,976,036"
22,"Biography,Drama,History",7.4,228701,"Nov 9, 2012",Lincoln,"$65,000,000","$182,207,973","$273,346,281"
23,"Comedy,Drama,Romance",6.8,45181,"Sep 4, 2015",Before We Go,"$3,000,000","$37,151","$483,938"
25,"Drama,Romance,War",6.3,1024,"Nov 18, 2016",The History of Love,"$20,000,000",$0,"$476,624"
26,"Action,Adventure,Comedy",7.4,109051,"Apr 5, 2019",Shazam!,"$85,000,000","$139,606,856","$362,899,733"
27,"Action,Adventure,Animation",6.6,133355,"Oct 28, 2011",Puss in Boots,"$130,000,000","$149,260,504","$554,987,477"
28,"Action,Adventure,Fantasy",7.5,487527,"Jun 2, 2017",Wonder Woman,"$150,000,000","$412,563,408","$821,133,378"
31,"Biography,Drama,Sport",7.5,77703,"Apr 12, 2013",42,"$31,000,000","$95,020,213","$97,470,701"
32,"Adventure,Drama,Fantasy",7.9,535836,"Nov 21, 2012",Life of Pi,"$120,000,000","$124,987,022","$620,912,003"
33,"Horror,Thriller",6.5,104465,"Feb 26, 2010",The Crazies,"$19,000,000","$39,123,589","$56,445,534"
34,"Action,Crime,Thriller",7.2,302302,"Sep 26, 2014",The Equalizer,"$55,000,000","$101,530,738","$192,903,624"
35,"Action,Adventure,Sci-Fi",6.9,668137,"Jul 22, 2011",Captain America: The First Avenger,"$140,000,000","$176,654,505","$370,569,776"
36,"Crime,Thriller",6.5,140666,"Aug 22, 2014",Sin City: A Dame to Kill For,"$65,000,000","$13,757,804","$40,650,842"
37,"Horror,Thriller",6.5,331,"Dec 31, 2014",House at the End of the Drive,"$1,400,000",$0,$0
38,"Comedy,Horror",5.4,81327,"Aug 20, 2010",Piranha 3D,"$24,000,000","$25,003,155","$83,660,160"
39,Drama,6.5,14708,"Sep 30, 2011",Margaret,"$14,000,000","$47,185","$623,292"
40,"Drama,Mystery,Sci-Fi",7.7,424542,"Apr 10, 2015",Ex Machina,"$13,000,000","$25,440,971","$38,358,392"
41,"Action,Comedy,Crime",6.2,125102,"Nov 4, 2011",Tower Heist,"$85,000,000","$78,046,570","$150,422,946"
42,"Adventure,Animation,Comedy",5.5,77577,"Jul 29, 2011",The Smurfs,"$110,000,000","$142,614,158","$563,749,323"
43,"Action,Crime,Thriller",6.6,141254,"Jan 28, 2011",The Mechanic,"$42,500,000","$29,121,498","$76,347,393"
44,"Comedy,Drama,Music",6.3,111422,"Feb 5, 2016","Hail, Caesar!","$22,000,000","$30,080,225","$64,160,680"
45,"Action,Thriller",6.8,173019,"Nov 12, 2010",Unstoppable,"$95,000,000","$81,562,942","$165,720,921"
49,"Drama,Fantasy",6.8,156266,"May 27, 2011",The Tree of Life,"$35,000,000","$13,305,665","$61,721,826"
50,"Action,Adventure,Comedy",7.3,501213,"Jul 17, 2015",Ant-Man,"$130,000,000","$180,202,163","$518,858,449"
51,"Action,Adventure,Fantasy",5.4,85777,"Jan 7, 2011",Season of the Witch,"$40,000,000","$24,827,228","$91,126,600"
52,"Action,Adventure,Crime",6.4,83876,"Apr 23, 2010",The Losers,"$25,000,000","$23,591,432","$29,863,840"
54,"Comedy,Romance",5.9,113775,"Feb 25, 2011",Hall Pass,"$68,000,000","$45,060,734","$87,173,475"
55,"Action,Adventure,Animation",7.2,176699,"Mar 22, 2013",The Croods,"$135,000,000","$187,168,425","$573,068,425"
